RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,Date,ZORI
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-06-2019,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-07-2019,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-08-2019,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-09-2019,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-10-2019,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-11-2019,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-12-2019,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-01-2020,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,29-02-2020,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-03-2020,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-04-2020,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-05-2020,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-06-2020,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-07-2020,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-08-2020,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-09-2020,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-10-2020,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-11-2020,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-12-2020,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-01-2021,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,28-02-2021,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-03-2021,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-04-2021,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-05-2021,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-06-2021,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-07-2021,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-08-2021,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-09-2021,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-10-2021,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-11-2021,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-12-2021,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-01-2022,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,28-02-2022,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-03-2022,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-04-2022,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-05-2022,
