RegionID,SizeRank,RegionName,RegionType,StateName,Date,DaysToPending
394402,577,"Boone, NC",msa,NC,31-10-2018,
394402,577,"Boone, NC",msa,NC,30-11-2018,
394402,577,"Boone, NC",msa,NC,31-12-2018,
394402,577,"Boone, NC",msa,NC,31-01-2019,159
394402,577,"Boone, NC",msa,NC,28-02-2019,155
394402,577,"Boone, NC",msa,NC,31-03-2019,150
394402,577,"Boone, NC",msa,NC,30-04-2019,142
394402,577,"Boone, NC",msa,NC,31-05-2019,117
394402,577,"Boone, NC",msa,NC,30-06-2019,105
394402,577,"Boone, NC",msa,NC,31-07-2019,107
394402,577,"Boone, NC",msa,NC,31-08-2019,108
394402,577,"Boone, NC",msa,NC,30-09-2019,118
394402,577,"Boone, NC",msa,NC,31-10-2019,121
394402,577,"Boone, NC",msa,NC,30-11-2019,133
394402,577,"Boone, NC",msa,NC,31-12-2019,139
394402,577,"Boone, NC",msa,NC,31-01-2020,143
394402,577,"Boone, NC",msa,NC,29-02-2020,138
394402,577,"Boone, NC",msa,NC,31-03-2020,132
394402,577,"Boone, NC",msa,NC,30-04-2020,140
394402,577,"Boone, NC",msa,NC,31-05-2020,129
394402,577,"Boone, NC",msa,NC,30-06-2020,114
394402,577,"Boone, NC",msa,NC,31-07-2020,98
394402,577,"Boone, NC",msa,NC,31-08-2020,90
394402,577,"Boone, NC",msa,NC,30-09-2020,79
394402,577,"Boone, NC",msa,NC,31-10-2020,63
394402,577,"Boone, NC",msa,NC,30-11-2020,65
394402,577,"Boone, NC",msa,NC,31-12-2020,68
394402,577,"Boone, NC",msa,NC,31-01-2021,85
394402,577,"Boone, NC",msa,NC,28-02-2021,73
394402,577,"Boone, NC",msa,NC,31-03-2021,63
394402,577,"Boone, NC",msa,NC,30-04-2021,33
394402,577,"Boone, NC",msa,NC,31-05-2021,26
394402,577,"Boone, NC",msa,NC,30-06-2021,20
394402,577,"Boone, NC",msa,NC,31-07-2021,21
394402,577,"Boone, NC",msa,NC,31-08-2021,25
394402,577,"Boone, NC",msa,NC,30-09-2021,28
394402,577,"Boone, NC",msa,NC,31-10-2021,31
394402,577,"Boone, NC",msa,NC,30-11-2021,33
394402,577,"Boone, NC",msa,NC,31-12-2021,37
394402,577,"Boone, NC",msa,NC,31-01-2022,46
394402,577,"Boone, NC",msa,NC,28-02-2022,45
394402,577,"Boone, NC",msa,NC,31-03-2022,41
394402,577,"Boone, NC",msa,NC,30-04-2022,29
394402,577,"Boone, NC",msa,NC,31-05-2022,29
394402,577,"Boone, NC",msa,NC,30-06-2022,29
394402,577,"Boone, NC",msa,NC,31-07-2022,30
394402,577,"Boone, NC",msa,NC,31-08-2022,33
394402,577,"Boone, NC",msa,NC,30-09-2022,40
394402,577,"Boone, NC",msa,NC,31-10-2022,45
394402,577,"Boone, NC",msa,NC,30-11-2022,48
394402,577,"Boone, NC",msa,NC,31-12-2022,53
394402,577,"Boone, NC",msa,NC,31-01-2023,57
394402,577,"Boone, NC",msa,NC,28-02-2023,59
394402,577,"Boone, NC",msa,NC,31-03-2023,53
394402,577,"Boone, NC",msa,NC,30-04-2023,51
394402,577,"Boone, NC",msa,NC,31-05-2023,52
394402,577,"Boone, NC",msa,NC,30-06-2023,53
394402,577,"Boone, NC",msa,NC,31-07-2023,59
394402,577,"Boone, NC",msa,NC,31-08-2023,60
394402,577,"Boone, NC",msa,NC,30-09-2023,61
394402,577,"Boone, NC",msa,NC,31-10-2023,57
394402,577,"Boone, NC",msa,NC,30-11-2023,62
394402,577,"Boone, NC",msa,NC,31-12-2023,67
394402,577,"Boone, NC",msa,NC,31-01-2024,73
394402,577,"Boone, NC",msa,NC,29-02-2024,83
394402,577,"Boone, NC",msa,NC,31-03-2024,82
394402,577,"Boone, NC",msa,NC,30-04-2024,83
394402,577,"Boone, NC",msa,NC,31-05-2024,68
394402,577,"Boone, NC",msa,NC,30-06-2024,60
394402,577,"Boone, NC",msa,NC,31-07-2024,52
394402,577,"Boone, NC",msa,NC,31-08-2024,58
394402,577,"Boone, NC",msa,NC,30-09-2024,73
394402,577,"Boone, NC",msa,NC,31-10-2024,82
394402,577,"Boone, NC",msa,NC,30-11-2024,95
394402,577,"Boone, NC",msa,NC,31-12-2024,100
394402,577,"Boone, NC",msa,NC,31-01-2025,109
394402,577,"Boone, NC",msa,NC,28-02-2025,110
394402,577,"Boone, NC",msa,NC,31-03-2025,106
394402,577,"Boone, NC",msa,NC,30-04-2025,88
394402,577,"Boone, NC",msa,NC,31-05-2025,67
394402,577,"Boone, NC",msa,NC,30-06-2025,54
394428,260,"Burlington, NC",msa,NC,31-03-2018,55
394428,260,"Burlington, NC",msa,NC,30-04-2018,51
394428,260,"Burlington, NC",msa,NC,31-05-2018,43
394428,260,"Burlington, NC",msa,NC,30-06-2018,38
394428,260,"Burlington, NC",msa,NC,31-07-2018,34
394428,260,"Burlington, NC",msa,NC,31-08-2018,35
394428,260,"Burlington, NC",msa,NC,30-09-2018,36
394428,260,"Burlington, NC",msa,NC,31-10-2018,35
394428,260,"Burlington, NC",msa,NC,30-11-2018,38
394428,260,"Burlington, NC",msa,NC,31-12-2018,44
394428,260,"Burlington, NC",msa,NC,31-01-2019,54
394428,260,"Burlington, NC",msa,NC,28-02-2019,57
394428,260,"Burlington, NC",msa,NC,31-03-2019,55
394428,260,"Burlington, NC",msa,NC,30-04-2019,49
394428,260,"Burlington, NC",msa,NC,31-05-2019,41
394428,260,"Burlington, NC",msa,NC,30-06-2019,38
394428,260,"Burlington, NC",msa,NC,31-07-2019,36
394428,260,"Burlington, NC",msa,NC,31-08-2019,38
394428,260,"Burlington, NC",msa,NC,30-09-2019,37
394428,260,"Burlington, NC",msa,NC,31-10-2019,35
394428,260,"Burlington, NC",msa,NC,30-11-2019,34
394428,260,"Burlington, NC",msa,NC,31-12-2019,37
394428,260,"Burlington, NC",msa,NC,31-01-2020,40
394428,260,"Burlington, NC",msa,NC,29-02-2020,39
394428,260,"Burlington, NC",msa,NC,31-03-2020,34
394428,260,"Burlington, NC",msa,NC,30-04-2020,31
394428,260,"Burlington, NC",msa,NC,31-05-2020,30
394428,260,"Burlington, NC",msa,NC,30-06-2020,28
394428,260,"Burlington, NC",msa,NC,31-07-2020,26
394428,260,"Burlington, NC",msa,NC,31-08-2020,19
394428,260,"Burlington, NC",msa,NC,30-09-2020,18
394428,260,"Burlington, NC",msa,NC,31-10-2020,15
394428,260,"Burlington, NC",msa,NC,30-11-2020,16
394428,260,"Burlington, NC",msa,NC,31-12-2020,17
394428,260,"Burlington, NC",msa,NC,31-01-2021,20
394428,260,"Burlington, NC",msa,NC,28-02-2021,18
394428,260,"Burlington, NC",msa,NC,31-03-2021,16
394428,260,"Burlington, NC",msa,NC,30-04-2021,11
394428,260,"Burlington, NC",msa,NC,31-05-2021,12
394428,260,"Burlington, NC",msa,NC,30-06-2021,14
394428,260,"Burlington, NC",msa,NC,31-07-2021,16
394428,260,"Burlington, NC",msa,NC,31-08-2021,20
394428,260,"Burlington, NC",msa,NC,30-09-2021,20
394428,260,"Burlington, NC",msa,NC,31-10-2021,22
394428,260,"Burlington, NC",msa,NC,30-11-2021,20
394428,260,"Burlington, NC",msa,NC,31-12-2021,18
394428,260,"Burlington, NC",msa,NC,31-01-2022,21
394428,260,"Burlington, NC",msa,NC,28-02-2022,20
394428,260,"Burlington, NC",msa,NC,31-03-2022,17
394428,260,"Burlington, NC",msa,NC,30-04-2022,10
394428,260,"Burlington, NC",msa,NC,31-05-2022,7
394428,260,"Burlington, NC",msa,NC,30-06-2022,9
394428,260,"Burlington, NC",msa,NC,31-07-2022,13
394428,260,"Burlington, NC",msa,NC,31-08-2022,16
394428,260,"Burlington, NC",msa,NC,30-09-2022,19
394428,260,"Burlington, NC",msa,NC,31-10-2022,22
394428,260,"Burlington, NC",msa,NC,30-11-2022,24
394428,260,"Burlington, NC",msa,NC,31-12-2022,25
394428,260,"Burlington, NC",msa,NC,31-01-2023,29
394428,260,"Burlington, NC",msa,NC,28-02-2023,33
394428,260,"Burlington, NC",msa,NC,31-03-2023,35
394428,260,"Burlington, NC",msa,NC,30-04-2023,30
394428,260,"Burlington, NC",msa,NC,31-05-2023,25
394428,260,"Burlington, NC",msa,NC,30-06-2023,23
394428,260,"Burlington, NC",msa,NC,31-07-2023,23
394428,260,"Burlington, NC",msa,NC,31-08-2023,26
394428,260,"Burlington, NC",msa,NC,30-09-2023,26
394428,260,"Burlington, NC",msa,NC,31-10-2023,31
394428,260,"Burlington, NC",msa,NC,30-11-2023,31
394428,260,"Burlington, NC",msa,NC,31-12-2023,34
394428,260,"Burlington, NC",msa,NC,31-01-2024,34
394428,260,"Burlington, NC",msa,NC,29-02-2024,37
394428,260,"Burlington, NC",msa,NC,31-03-2024,35
394428,260,"Burlington, NC",msa,NC,30-04-2024,30
394428,260,"Burlington, NC",msa,NC,31-05-2024,26
394428,260,"Burlington, NC",msa,NC,30-06-2024,25
394428,260,"Burlington, NC",msa,NC,31-07-2024,28
394428,260,"Burlington, NC",msa,NC,31-08-2024,31
394428,260,"Burlington, NC",msa,NC,30-09-2024,33
394428,260,"Burlington, NC",msa,NC,31-10-2024,34
394428,260,"Burlington, NC",msa,NC,30-11-2024,40
394428,260,"Burlington, NC",msa,NC,31-12-2024,44
394428,260,"Burlington, NC",msa,NC,31-01-2025,50
394428,260,"Burlington, NC",msa,NC,28-02-2025,50
394428,260,"Burlington, NC",msa,NC,31-03-2025,45
394428,260,"Burlington, NC",msa,NC,30-04-2025,39
394428,260,"Burlington, NC",msa,NC,31-05-2025,33
394428,260,"Burlington, NC",msa,NC,30-06-2025,39
394458,23,"Charlotte, NC",msa,NC,31-03-2018,35
394458,23,"Charlotte, NC",msa,NC,30-04-2018,31
394458,23,"Charlotte, NC",msa,NC,31-05-2018,28
394458,23,"Charlotte, NC",msa,NC,30-06-2018,28
394458,23,"Charlotte, NC",msa,NC,31-07-2018,30
394458,23,"Charlotte, NC",msa,NC,31-08-2018,33
394458,23,"Charlotte, NC",msa,NC,30-09-2018,37
394458,23,"Charlotte, NC",msa,NC,31-10-2018,39
394458,23,"Charlotte, NC",msa,NC,30-11-2018,43
394458,23,"Charlotte, NC",msa,NC,31-12-2018,47
394458,23,"Charlotte, NC",msa,NC,31-01-2019,52
394458,23,"Charlotte, NC",msa,NC,28-02-2019,52
394458,23,"Charlotte, NC",msa,NC,31-03-2019,48
394458,23,"Charlotte, NC",msa,NC,30-04-2019,42
394458,23,"Charlotte, NC",msa,NC,31-05-2019,38
394458,23,"Charlotte, NC",msa,NC,30-06-2019,36
394458,23,"Charlotte, NC",msa,NC,31-07-2019,36
394458,23,"Charlotte, NC",msa,NC,31-08-2019,37
394458,23,"Charlotte, NC",msa,NC,30-09-2019,40
394458,23,"Charlotte, NC",msa,NC,31-10-2019,42
394458,23,"Charlotte, NC",msa,NC,30-11-2019,44
394458,23,"Charlotte, NC",msa,NC,31-12-2019,46
394458,23,"Charlotte, NC",msa,NC,31-01-2020,50
394458,23,"Charlotte, NC",msa,NC,29-02-2020,49
394458,23,"Charlotte, NC",msa,NC,31-03-2020,43
394458,23,"Charlotte, NC",msa,NC,30-04-2020,35
394458,23,"Charlotte, NC",msa,NC,31-05-2020,33
394458,23,"Charlotte, NC",msa,NC,30-06-2020,34
394458,23,"Charlotte, NC",msa,NC,31-07-2020,34
394458,23,"Charlotte, NC",msa,NC,31-08-2020,30
394458,23,"Charlotte, NC",msa,NC,30-09-2020,27
394458,23,"Charlotte, NC",msa,NC,31-10-2020,24
394458,23,"Charlotte, NC",msa,NC,30-11-2020,23
394458,23,"Charlotte, NC",msa,NC,31-12-2020,24
394458,23,"Charlotte, NC",msa,NC,31-01-2021,27
394458,23,"Charlotte, NC",msa,NC,28-02-2021,24
394458,23,"Charlotte, NC",msa,NC,31-03-2021,21
394458,23,"Charlotte, NC",msa,NC,30-04-2021,15
